OPPONENT,SEASON,TS%,PER,PTS,REB,AST,STL,BLK
ATL,2014-15,0.6032151795190304,9.0,23.666666666666668,5.0,5.666666666666667,1.3333333333333333,0.6666666666666666
ATL,2015-16,0.6772648563842331,22.666666666666668,27.333333333333332,11.0,7.666666666666667,1.6666666666666667,1.3333333333333333
ATL,2016-17,0.6470233120723163,20.5,30.0,11.5,7.5,1.5,0.0
ATL,2017-18,0.7150656301169764,25.0,24.25,7.5,15.25,1.25,1.0
ATL,2018-19,0.5561734316128053,17.0,27.0,9.0,10.0,2.5,0.5
ATL,2019-20,0.7130473901271466,28.0,32.5,10.0,9.5,1.0,2.0
ATL,2020-21,0.6414898867729056,10.0,15.5,4.0,6.5,1.0,0.5
ATL,2021-22,0.6066350710900474,23.0,32.0,8.0,9.0,4.0,3.0
ATL,2022-23,0.661740630378992,19.0,36.0,8.5,9.5,0.0,0.5
ATL,2024-25,0.7080849933371325,23.0,34.5,6.5,9.5,1.0,1.5
BKN,2014-15,0.5372524117906583,10.25,20.0,4.0,8.0,2.75,0.25
BKN,2015-16,0.6836358032713247,12.25,24.25,5.0,6.5,1.25,0.5
BKN,2016-17,0.6526993104993671,15.0,28.666666666666668,6.0,7.666666666666667,2.0,0.0
BKN,2017-18,0.6875787462228062,22.0,32.5,9.5,9.25,1.0,1.0
BKN,2018-19,0.5120663523776827,11.5,30.5,11.0,11.0,1.0,1.0
BKN,2019-20,0.6357817620975517,22.5,28.0,11.5,9.5,1.0,0.5
BKN,2020-21,0.6189555125725338,15.0,32.0,8.0,7.0,0.0,0.0
BKN,2021-22,0.700941652933633,24.5,36.0,8.0,6.5,3.0,1.5
BKN,2024-25,0.807799442896936,23.0,29.0,7.0,8.0,1.0,2.0
BOS,2014-15,0.5304083133534991,8.333333333333334,27.333333333333332,3.3333333333333335,6.333333333333333,1.3333333333333333,0.6666666666666666
BOS,2015-16,0.5357911229321665,7.333333333333333,27.333333333333332,8.333333333333334,5.0,2.0,1.0
BOS,2016-17,0.6074835041131271,19.25,29.25,9.5,9.75,1.0,1.5
BOS,2017-18,0.5955453211554307,18.666666666666668,24.0,10.333333333333334,8.333333333333334,0.6666666666666666,1.3333333333333333
BOS,2018-19,0.5843655255419962,22.5,29.0,11.0,12.0,1.5,0.0
BOS,2019-20,0.554391832423869,13.5,22.0,7.5,11.0,0.0,0.0
BOS,2020-21,0.5419354838709678,9.0,21.0,7.0,7.0,0.0,1.0
BOS,2021-22,0.7249535066802058,14.0,26.5,5.0,3.5,1.0,0.0
BOS,2022-23,0.61871580293437,20.5,37.0,9.0,8.5,1.0,0.5
BOS,2024-25,0.47732696897374705,16.0,20.0,14.0,6.0,0.0,0.0
CHA,2014-15,0.6731065631994424,23.0,26.0,6.5,11.5,2.5,2.0
CHA,2015-16,0.5882804276273159,15.25,25.5,8.5,7.5,1.25,0.5
CHA,2016-17,0.6315303372342785,19.25,31.75,8.0,9.5,1.5,1.0
CHA,2017-18,0.6149798466939321,22.0,33.0,10.666666666666666,9.666666666666666,1.0,1.3333333333333333
CHA,2018-19,0.6282009371254222,15.0,25.5,7.5,10.0,0.5,0.0
CHA,2019-20,0.6106870229007634,16.0,20.0,6.0,12.0,1.0,0.0
CHA,2020-21,0.7156673114119922,21.0,37.0,8.0,6.0,1.0,1.0
CHA,2022-23,0.6794343561665419,17.0,38.5,6.5,7.0,1.0,0.0
CHA,2024-25,0.567741935483871,10.0,22.0,7.0,8.0,0.0,0.0
CHI,2014-15,0.5246114263850654,8.75,28.25,7.0,6.25,1.75,0.5
CHI,2015-16,0.6118295267368088,17.5,27.25,9.75,6.5,0.75,0.75
CHI,2016-17,0.5947441584064138,14.0,28.0,7.666666666666667,9.333333333333334,0.6666666666666666,0.3333333333333333
CHI,2017-18,0.6664940291913087,21.0,31.0,7.0,10.0,2.25,0.5
CHI,2018-19,0.7093596059113301,19.0,36.0,10.0,4.0,2.0,0.0
CHI,2019-20,0.644468313641246,24.0,30.0,10.0,11.0,2.0,1.0
CHI,2020-21,0.49690452916259364,7.5,22.5,9.0,6.5,1.0,0.0
CHI,2021-22,0.5910390848427073,18.0,31.0,14.0,6.0,1.0,2.0
CHI,2022-23,0.6199890081469028,9.0,22.0,8.0,3.5,1.0,0.0
CLE,2018-19,0.622568093385214,18.0,32.0,14.0,7.0,0.0,1.0
CLE,2019-20,0.8020698576972833,16.0,31.0,2.0,8.0,1.0,0.0
CLE,2020-21,0.8534322820037106,33.0,46.0,8.0,6.0,2.0,2.0
CLE,2021-22,0.5741100323624595,16.5,32.0,6.5,10.0,2.0,1.0
CLE,2022-23,0.554133970203571,15.5,24.0,12.0,4.0,0.5,0.5
CLE,2024-25,0.7184965895566637,11.5,24.5,5.0,5.0,0.0,0.5
DAL,2014-15,0.8244274809160306,23.0,27.0,7.0,8.0,1.0,1.0
DAL,2015-16,0.6490384615384616,17.0,27.0,10.0,7.0,2.0,0.0
DAL,2016-17,0.5611360718870346,12.5,21.0,7.0,10.0,1.5,0.0
DAL,2017-18,0.4415264216672391,10.5,17.5,12.0,8.0,0.0,0.5
DAL,2018-19,0.6304248962087464,11.5,28.5,5.0,5.0,1.5,0.5
DAL,2019-20,0.6048533590566937,23.25,28.0,10.75,11.0,2.75,0.25
DAL,2020-21,0.5527638190954774,14.0,22.0,7.0,10.0,1.0,0.0
DAL,2021-22,0.612776054846776,13.0,25.0,7.5,5.0,1.0,0.0
DAL,2022-23,0.5074200933858767,9.333333333333334,29.333333333333332,10.0,5.666666666666667,1.0,0.3333333333333333
DAL,2024-25,0.6060606060606061,17.0,18.0,10.0,8.0,1.0,0.0
DEN,2014-15,0.5217022161871909,12.0,22.0,8.0,8.0,0.5,1.5
DEN,2015-16,0.6463126712252489,15.0,33.5,8.5,6.5,1.0,0.5
DEN,2016-17,0.7008359792612837,14.5,22.5,5.5,8.5,1.0,0.0
DEN,2017-18,0.5965396026831785,20.5,32.0,9.0,12.5,1.5,0.0
DEN,2018-19,0.5455367391543626,13.0,24.333333333333332,8.333333333333334,6.666666666666667,2.0,1.0
DEN,2019-20,0.5601421775201199,14.0,28.666666666666668,6.333333333333333,11.666666666666666,0.0,0.6666666666666666
DEN,2020-21,0.5962591120239051,20.5,24.5,10.0,9.5,0.0,1.0
DEN,2021-22,0.4748338081671415,7.0,25.0,9.0,2.0,0.0,2.0
DEN,2022-23,0.5403856632393104,11.333333333333334,25.0,7.333333333333333,7.0,1.3333333333333333,0.0
DEN,2024-25,0.48846675712347354,8.0,18.0,6.0,7.0,3.0,0.0
DET,2014-15,0.4951928038520914,10.0,22.25,8.25,9.0,1.75,0.5
DET,2015-16,0.4919327818534094,8.333333333333334,20.666666666666668,7.666666666666667,5.333333333333333,1.3333333333333333,0.0
DET,2016-17,0.5997501236817672,16.666666666666668,22.0,9.333333333333334,8.333333333333334,0.3333333333333333,0.3333333333333333
DET,2017-18,0.638079957309231,16.25,23.75,5.75,9.0,0.75,0.5
DET,2019-20,0.4783599088838269,20.0,21.0,14.0,11.0,0.0,0.0
DET,2020-21,0.5552397175276671,15.0,27.5,6.0,10.5,2.5,0.0
DET,2021-22,0.6810868159973019,13.0,21.5,3.0,7.0,1.0,0.5
DET,2022-23,0.6635071090047393,16.0,35.0,5.0,5.0,1.0,0.0
DET,2024-25,0.6343339405619945,22.0,24.0,9.5,11.0,1.0,0.0
GSW,2014-15,0.6947890818858561,20.0,42.0,11.0,5.0,3.0,1.0
GSW,2015-16,0.4424291584760151,3.5,20.5,7.0,3.5,1.0,1.5
GSW,2016-17,0.5258019374505061,7.0,25.5,10.5,3.0,1.5,0.5
GSW,2017-18,0.565386960796556,7.0,26.0,7.0,6.0,1.5,2.0
GSW,2018-19,0.5743243243243243,15.0,17.0,13.0,5.0,1.0,0.0
GSW,2019-20,0.5448312870392906,14.5,22.5,7.0,11.5,1.0,0.5
GSW,2020-21,0.6190858421187723,11.333333333333334,20.0,7.0,6.666666666666667,1.0,0.6666666666666666
GSW,2021-22,0.6088340163926209,16.666666666666668,38.666666666666664,12.0,5.333333333333333,0.3333333333333333,0.6666666666666666
GSW,2022-23,0.43290904269424557,12.5,22.0,12.0,8.0,0.0,0.0
GSW,2024-25,0.5587965021491033,16.5,28.0,4.5,11.0,1.5,0.5
HOU,2014-15,0.4599129894344313,5.0,37.0,8.0,4.0,3.0,3.0
HOU,2015-16,0.5637982195845697,11.0,19.0,7.0,7.0,0.0,2.0
HOU,2016-17,0.6336404326094149,13.5,24.5,10.0,6.5,1.0,0.0
HOU,2017-18,0.5555762127859993,13.5,22.0,6.5,8.0,1.5,1.0
HOU,2018-19,0.5639354155266006,10.666666666666666,27.333333333333332,7.333333333333333,5.0,1.6666666666666667,0.6666666666666666
HOU,2019-20,0.5141704913804725,16.0,24.5,7.0,13.5,2.0,0.0
HOU,2020-21,0.548904493304171,11.0,22.0,7.5,6.0,0.5,1.0
HOU,2021-22,0.5320673397820461,17.75,25.0,8.75,10.25,2.0,1.75
HOU,2022-23,0.6221212910276057,23.5,33.0,9.0,10.0,0.0,0.5
HOU,2024-25,0.6194690265486726,24.0,21.0,13.0,9.0,1.0,0.0
IND,2014-15,0.5144616381514963,6.333333333333333,24.333333333333332,5.0,5.666666666666667,1.0,0.3333333333333333
IND,2015-16,0.538186664532979,8.0,28.666666666666668,7.666666666666667,4.666666666666667,1.3333333333333333,0.3333333333333333
IND,2016-17,0.6807323498005534,19.0,32.333333333333336,8.333333333333334,8.0,1.3333333333333333,0.6666666666666666
IND,2017-18,0.6111553374474589,18.25,28.75,8.5,10.25,2.5,1.25
IND,2018-19,0.6344081291514538,14.5,28.0,8.0,8.0,1.5,0.0
IND,2019-20,0.4987246295166111,10.5,25.5,8.5,8.0,0.0,0.5
IND,2020-21,0.5083514887436456,8.0,21.0,5.0,9.0,0.5,0.0
